<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГАЗПРОМ ао;D;20060123;000000;239.5;239.5;218.49;218.89;5120765;0
ГАЗПРОМ ао;D;20060124;000000;221;224.68;219.66;224;8983192;0
ГАЗПРОМ ао;D;20060125;000000;225.5;231;225;228.38;15480374;0
ГАЗПРОМ ао;D;20060126;000000;228.2;229.41;223.51;224.47;7588759;0
ГАЗПРОМ ао;D;20060127;000000;225.75;231.5;224;228.75;12729718;0
ГАЗПРОМ ао;D;20060130;000000;231.04;231.07;215;216;17251930;0
ГАЗПРОМ ао;D;20060131;000000;218;224.23;215.71;219.02;11737232;0
ГАЗПРОМ ао;D;20060201;000000;219.5;223.99;215;223.99;8564735;0
ГАЗПРОМ ао;D;20060202;000000;223.95;224.5;220;221.5;5446544;0
ГАЗПРОМ ао;D;20060203;000000;218.8;221.3;217.01;221.01;5387994;0
ГАЗПРОМ ао;D;20060206;000000;221.63;222.45;219.16;220.45;6375694;0
ГАЗПРОМ ао;D;20060207;000000;220;220.7;218.2;220.5;8270432;0
ГАЗПРОМ ао;D;20060208;000000;218.26;221.59;215.5;221;9434350;0
ГАЗПРОМ ао;D;20060209;000000;221.49;224.8;220.5;222;9777969;0
ГАЗПРОМ ао;D;20060210;000000;222.25;223.6;221.51;222;5918603;0
ГАЗПРОМ ао;D;20060213;000000;221.98;222;218.57;219.95;7879015;0
ГАЗПРОМ ао;D;20060214;000000;219.84;220.85;218.6;219.89;3791527;0
ГАЗПРОМ ао;D;20060215;000000;217.93;220;217.93;219.78;3549036;0
ГАЗПРОМ ао;D;20060216;000000;219.96;220.47;218.93;220;4514626;0
ГАЗПРОМ ао;D;20060217;000000;220.5;227.33;220.5;226.5;19229246;0
ГАЗПРОМ ао;D;20060220;000000;227.57;229.99;227.37;228.2;8384036;0
ГАЗПРОМ ао;D;20060221;000000;230;230.16;224.55;225;10824604;0
ГАЗПРОМ ао;D;20060222;000000;225.1;226.5;224.11;225.38;6007484;0
ГАЗПРОМ ао;D;20060226;000000;225.49;229.6;225.38;227.38;8903738;0
ГАЗПРОМ ао;D;20060227;000000;227.78;228.2;225.05;225.21;9320121;0
ГАЗПРОМ ао;D;20060228;000000;225.21;225.3;217.01;218.79;11439450;0
ГАЗПРОМ ао;D;20060301;000000;219;220.5;214.6;217.98;11094561;0
ГАЗПРОМ ао;D;20060302;000000;218.87;220.86;217.5;218.98;7795473;0
ГАЗПРОМ ао;D;20060303;000000;220;228.9;220;228.9;28820558;0
ГАЗПРОМ ао;D;20060306;000000;230.05;239.37;230.05;231.99;25733617;0
ГАЗПРОМ ао;D;20060307;000000;230.5;230.5;221.97;223.86;18790992;0
